=== sofia_trace: ioctl + segv tracer ===
[tracer] child started, tracing syscalls...
IOC #78 fd=12 cmd=0x00005401 arg=0x7e819494 = 0xffffffe7
IOC #79 fd=12 cmd=0x00005401 arg=0x7e819494 = 0xffffffe7
IOC #80 fd=12 cmd=0x00005401 arg=0x7e81976c = 0xffffffe7
IOC #81 fd=12 cmd=0x00005401 arg=0x7e81976c = 0xffffffe7
IOC #82 fd=12 cmd=0x00005401 arg=0x7e8195e4 = 0xffffffe7
IOC #83 fd=12 cmd=0x00005401 arg=0x7e8198a4 = 0xffffffe7
IOC #84 fd=12 cmd=0x00005401 arg=0x7e819904 = 0xffffffe7
IOC #85 fd=12 cmd=0x00005401 arg=0x7e819994 = 0xffffffe7
IOC #86 fd=12 cmd=0x00005401 arg=0x7e819a24 = 0xffffffe7
IOC #87 fd=12 cmd=0x00005401 arg=0x7e81943c = 0xffffffe7
IOC #88 fd=12 cmd=0x00005401 arg=0x7e81560c = 0xffffffe7
IOC #89 fd=12 cmd=0x00005401 arg=0x7e8157ac = 0xffffffe7
IOC #90 fd=12 cmd=0x00005401 arg=0x7e81577c = 0xffffffe7
IOC #91 fd=17 cmd=0x00005401 arg=0x7e819724 = 0xffffffe7
IOC #92 fd=17 cmd=0x00005401 arg=0x7e8191dc = 0xffffffe7
IOC #93 fd=17 cmd=0x00005401 arg=0x7e8196cc = 0xffffffe7
IOC #94 fd=17 cmd=0x00005401 arg=0x7e818ec4 = 0xffffffe7
IOC #95 fd=18 cmd=0x00005401 arg=0x7e818ec4 = 0xffffffe7
IOC #96 fd=17 cmd=0x00005401 arg=0x7e81969c = 0xffffffe7
IOC #97 fd=17 cmd=0x00005401 arg=0x7e8191cc = 0xffffffe7
IOC #98 fd=17 cmd=0x00005401 arg=0x7e8191cc = 0xffffffe7
IOC #99 fd=17 cmd=0x00005401 arg=0x7e8191d4 = 0xffffffe7
IOC #100 fd=13 cmd=0x00005401 arg=0x7e819944 = 0xffffffe7
IOC #101 fd=13 cmd=0x00005401 arg=0x7e819944 = 0xffffffe7
IOC #102 fd=13 cmd=0x00005401 arg=0x7e81990c = 0xffffffe7
IOC #103 fd=13 cmd=0x00005401 arg=0x7e81971c = 0xffffffe7
IOC #104 fd=13 cmd=0x40045900 arg=0x7e81975c = 0x0
IOC #105 fd=13 cmd=0x00005930 arg=0x000000a0 = 0x0
