=== sofia_trace: ioctl + segv tracer (multi-thread) ===
[tracer] main PID=612, tracing syscalls + children...
IOC #77 fd=0 cmd=0x80204d01 arg=0x75569c48 = 0xd
IOC #78 fd=12 cmd=0x0000890b arg=0x7e85f91c = 0x0
IOC #79 fd=12 cmd=0x0000890b arg=0x7e85f91c = 0x0
IOC #80 fd=12 cmd=0x00005401 arg=0x7e85f85c = 0xffffffe7
IOC #81 fd=12 cmd=0x00005401 arg=0x7e85f55c = 0xffffffe7
IOC #82 fd=12 cmd=0x00008927 arg=0x7e85f990 = 0x0
IOC #83 fd=12 cmd=0x00008946 arg=0x7e85f9d8 = 0x0
IOC #84 fd=12 cmd=0x00008946 arg=0x7e85f9d8 = 0x0
IOC #85 fd=12 cmd=0x00008946 arg=0x7e85f9d8 = 0x0
IOC #86 fd=12 cmd=0x00008946 arg=0x7e85f9d8 = 0x0
IOC #87 fd=12 cmd=0x00005401 arg=0x7e85f5c4 = 0xffffffe7
IOC #88 fd=12 cmd=0x00005401 arg=0x7e85f5c4 = 0xffffffe7
IOC #89 fd=12 cmd=0x00005401 arg=0x7e85f5dc = 0xffffffe7
IOC #90 fd=12 cmd=0x00005401 arg=0x7e85f444 = 0xffffffe7
IOC #91 fd=12 cmd=0x00005401 arg=0x7e85f444 = 0xffffffe7
IOC #92 fd=12 cmd=0x00005401 arg=0x7e85f594 = 0xffffffe7
IOC #93 fd=12 cmd=0x00005401 arg=0x7e85f854 = 0xffffffe7
IOC #94 fd=12 cmd=0x00005401 arg=0x7e85f444 = 0xffffffe7
IOC #95 fd=12 cmd=0x00005401 arg=0x7e85f444 = 0xffffffe7
IOC #96 fd=5 cmd=0x80045705 arg=0x00000000 = 0x0
